"date","geography","geography code","Rural Urban","Living Arrangement: All categories: Living arrangements; measures: Value","Living Arrangement: Living in a couple; measures: Value","Living Arrangement: Living in a couple: Married or in a registered same-sex civil partnership; measures: Value","Living Arrangement: Living in a couple: Cohabiting; measures: Value","Living Arrangement: Not living in a couple; measures: Value","Living Arrangement: Not living in a couple: Single (never married or never registered a same-sex civil partnership); measures: Value","Living Arrangement: Not living in a couple: Married or in a registered same-sex civil partnership; measures: Value","Living Arrangement: Not living in a couple: Separated (but still legally married or still legally in a same-sex civil partnership); measures: Value","Living Arrangement: Not living in a couple: Divorced or formerly in a same-sex civil partnership which is now legally dissolved; measures: Value","Living Arrangement: Not living in a couple: Widowed or surviving partner from a same-sex civil partnership; measures: Value"
"2011","Harrogate","E07000165","Total",125493,80991,67112,13879,44502,24238,1372,2112,8413,8367
"2011","Richmondshire","E07000166","Total",38205,25780,21956,3824,12425,6436,533,725,2271,2460
"2011","Ryedale","E07000167","Total",42344,27854,23198,4656,14490,7639,413,710,2385,3343
"2011","Scarborough","E07000168","Total",89149,53410,42762,10648,35739,18576,1128,1833,6875,7327
"2011","Selby","E07000169","Total",67530,45607,36938,8669,21923,12344,629,1195,3814,3941
"2011","Barnsley","E08000016","Total",186674,114804,87674,27130,71870,40420,1483,3579,13384,13004
"2011","Doncaster","E08000017","Total",239750,144862,111222,33640,94888,53747,2621,5073,17017,16430
"2011","Rotherham","E08000018","Total",206080,127461,100339,27122,78619,44826,2134,3814,13458,14387
"2011","Sheffield","E08000019","Total",438452,236471,181016,55455,201981,134683,5974,8269,25830,27225
"2011","Bradford","E08000032","Total",393444,225652,181994,43658,167792,99564,9386,10362,24631,23849
"2011","Calderdale","E08000033","Total",162269,96349,74207,22142,65920,37391,1934,3950,11968,10677
"2011","Kirklees","E08000034","Total",330768,197373,156865,40508,133395,79032,5003,7326,21670,20364
"2011","Leeds","E08000035","Total",594091,322262,246399,75863,271829,177398,7398,12973,37840,36220
"2011","Wakefield","E08000036","Total",262266,160905,124690,36215,101361,56677,2431,5421,18969,17863
"2011","Derby","E06000015","Total",193977,109202,84887,24315,84775,52303,3012,4307,12744,12409
"2011","Leicester","E06000016","Total",252346,126897,102044,24853,125449,83494,7200,5791,14618,14346
"2011","Nottingham","E06000018","Total",234289,104366,73860,30506,129923,91440,4275,5504,15858,12846
"2011","Rutland","E06000017","Total",28164,19104,16188,2916,9060,4608,298,532,1640,1982
"2011","Amber Valley","E07000032","Total",99723,64001,50237,13764,35722,20025,714,1787,6443,6753
"2011","Bolsover","E07000033","Total",61577,38562,29768,8794,23015,12603,528,1272,4072,4540
"2011","Chesterfield","E07000034","Total",84493,50855,39257,11598,33638,18891,657,1686,6495,5909
"2011","Derbyshire Dales","E07000035","Total",57877,38051,31782,6269,19826,10581,528,960,3428,4329
"2011","Erewash","E07000036","Total",90856,56607,43570,13037,34249,19622,672,1816,6135,6004
"2011","High Peak","E07000037","Total",73412,45578,35838,9740,27834,15972,544,1419,5031,4868
"2011","North East Derbyshire","E07000038","Total",81958,52970,43316,9654,28988,15809,618,1411,5009,6141
"2011","South Derbyshire","E07000039","Total",74708,49630,39220,10410,25078,14392,603,1413,4399,4271
"2011","Blaby","E07000129","Total",75314,48902,39782,9120,26412,15161,695,1422,4345,4789
"2011","Charnwood","E07000130","Total",130566,78512,63226,15286,52054,32826,1273,2421,7428,8106
"2011","Harborough","E07000131","Total",67688,45742,38008,7734,21946,12402,546,1198,3601,4199
