"date","geography","geography code","Rural Urban","Living Arrangement: All categories: Living arrangements; measures: Value","Living Arrangement: Living in a couple; measures: Value","Living Arrangement: Living in a couple: Married or in a registered same-sex civil partnership; measures: Value","Living Arrangement: Living in a couple: Cohabiting; measures: Value","Living Arrangement: Not living in a couple; measures: Value","Living Arrangement: Not living in a couple: Single (never married or never registered a same-sex civil partnership); measures: Value","Living Arrangement: Not living in a couple: Married or in a registered same-sex civil partnership; measures: Value","Living Arrangement: Not living in a couple: Separated (but still legally married or still legally in a same-sex civil partnership); measures: Value","Living Arrangement: Not living in a couple: Divorced or formerly in a same-sex civil partnership which is now legally dissolved; measures: Value","Living Arrangement: Not living in a couple: Widowed or surviving partner from a same-sex civil partnership; measures: Value"
"2011","East Hampshire","E07000085","Total",92013,60813,51448,9365,31200,17332,881,1543,5584,5860
"2011","Eastleigh","E07000086","Total",100561,64475,52036,12439,36086,20728,821,1880,6672,5985
"2011","Fareham","E07000087","Total",90757,59944,50140,9804,30813,17069,654,1598,5438,6054
"2011","Gosport","E07000088","Total",65549,39562,30926,8636,25987,14134,566,1605,5385,4297
"2011","Hart","E07000089","Total",71116,48888,41320,7568,22228,13021,727,1092,3605,3783
"2011","Havant","E07000090","Total",97560,59690,47904,11786,37870,20810,802,2037,6946,7275
"2011","New Forest","E07000091","Total",144783,93332,78362,14970,51451,26479,1421,2483,9650,11418
"2011","Rushmoor","E07000092","Total",72942,44703,35364,9339,28239,17127,1393,1517,4721,3481
"2011","Test Valley","E07000093","Total",92852,61559,51210,10349,31293,17341,976,1772,5676,5528
"2011","Winchester","E07000094","Total",90637,58460,48712,9748,32177,18992,930,1387,5170,5698
"2011","Ashford","E07000105","Total",92512,59329,47148,12181,33183,18814,977,1967,5711,5714
"2011","Canterbury","E07000106","Total",117822,65777,52510,13267,52045,33098,1273,2189,7388,8097
"2011","Dartford","E07000107","Total",76368,45750,35254,10496,30618,18920,943,1764,4746,4245
"2011","Dover","E07000108","Total",89540,54254,42972,11282,35286,19058,867,2078,6686,6597
"2011","Gravesham","E07000109","Total",80248,47379,37812,9567,32869,19511,1355,1824,4940,5239
"2011","Maidstone","E07000110","Total",122830,78139,62537,15602,44691,26177,1224,2481,7403,7406
"2011","Sevenoaks","E07000111","Total",91365,59317,49346,9971,32048,18318,904,1536,5270,6020
"2011","Folkestone and Hythe","E07000112","Total",86951,51326,40279,11047,35625,19456,1091,2136,6682,6260
"2011","Swale","E07000113","Total",106102,66043,51022,15021,40059,22798,920,2592,7037,6712
"2011","Thanet","E07000114","Total",106434,60283,46440,13843,46151,24273,1228,2859,9261,8530
"2011","Tonbridge and Malling","E07000115","Total",94616,61671,50104,11567,32945,19002,785,1803,5669,5686
"2011","Tunbridge Wells","E07000116","Total",89556,56138,44596,11542,33418,19639,1009,1765,5756,5249
"2011","Cherwell","E07000177","Total",110843,71564,56873,14691,39279,23184,1310,1934,6781,6070
"2011","Oxford","E07000178","Total",108882,51183,38567,12616,57699,41591,2439,2035,6373,5261
"2011","South Oxfordshire","E07000179","Total",105747,70043,57918,12125,35704,20767,1110,1540,5955,6332
"2011","Vale of White Horse","E07000180","Total",95527,62957,52302,10655,32570,18960,993,1514,5282,5821
"2011","West Oxfordshire","E07000181","Total",83129,55133,45050,10083,27996,15802,818,1312,5144,4920
"2011","Elmbridge","E07000207","Total",101685,65771,55176,10595,35914,20724,1365,1751,6060,6014
"2011","Epsom and Ewell","E07000208","Total",59429,37022,31146,5876,22407,13867,691,1012,3171,3666
"2011","Guildford","E07000209","Total",106450,65728,54005,11723,40722,26328,1238,1729,5701,5726
"2011","Mole Valley","E07000210","Total",68315,44169,37350,6819,24146,13431,721,1220,4094,4680
"2011","Reigate and Banstead","E07000211","Total",107549,68416,55230,13186,39133,23448,1324,1814,6184,6363
"2011","Runnymede","E07000212","Total",63539,37405,30328,7077,26134,16268,909,1144,3889,3924
"2011","Spelthorne","E07000213","Total",77342,46723,37676,9047,30619,18210,1144,1523,4789,4953
"2011","Surrey Heath","E07000214","Total",67779,44984,37814,7170,22795,13514,858,1033,3657,3733
"2011","Tandridge","E07000215","Total",65169,41831,34318,7513,23338,13347,773,1199,3903,4116
"2011","Waverley","E07000216","Total",93982,61886,52553,9333,32096,17721,1015,1637,5502,6221
"2011","Woking","E07000217","Total",78272,49526,40797,8729,28746,17345,1411,1414,4333,4243
"2011","Adur","E07000223","Total",49915,30292,23720,6572,19623,10492,449,1009,3643,4030
"2011","Arun","E07000224","Total",122430,75222,61188,14034,47208,23462,1500,2493,9104,10649
"2011","Chichester","E07000225","Total",92491,57450,48222,9228,35041,18668,1119,1660,6165,7429
"2011","Crawley","E07000226","Total",83824,48261,37797,10464,35563,21640,1501,1788,5803,4831
"2011","Horsham","E07000227","Total",104904,68963,57796,11167,35941,19946,1065,1746,6376,6808
"2011","Mid Sussex","E07000228","Total",110615,71497,59336,12161,39118,22486,1006,2007,6788,6831
"2011","Worthing","E07000229","Total",84097,48790,38264,10526,35307,19400,839,1894,6980,6194
"2011","Bath and North East Somerset","E06000022","Total",140675,80810,65130,15680,59865,38712,1546,2101,8728,8778
"2011","Bournemouth","E06000028","Total",150950,77634,57531,20103,73316,46590,2153,3151,12088,9334
"2011","Bristol, City of","E06000023","Total",340467,170517,121294,49223,169950,118004,5145,7082,21559,18160
"2011","Cornwall","E06000052","Total",433668,270675,215935,54740,162993,87028,4597,7195,32315,31858
"2011","Isles of Scilly","E06000053","Total",1786,1194,958,236,592,299,18,26,108,141
"2011","North Somerset","E06000024","Total",162604,103440,84748,18692,59164,31684,1567,3132,11560,11221
"2011","Plymouth","E06000026","Total",206292,115912,88293,27619,90380,55578,2066,4066,16023,12647
"2011","Poole","E06000029","Total",119629,73049,58448,14601,46580,25636,1363,2220,8823,8538
"2011","South Gloucestershire","E06000025","Total",208307,132501,107826,24675,75806,45114,2268,3552,12759,12113
"2011","Swindon","E06000030","Total",166482,102209,79062,23147,64273,38123,2254,3715,11203,8978
"2011","Torbay","E06000027","Total",106336,62033,49166,12867,44303,22728,1153,2333,9590,8499
"2011","Wiltshire","E06000054","Total",368240,240854,198642,42212,127386,69952,3606,6708,24130,22990
"2011","East Devon","E07000040","Total",109110,70663,59424,11239,38447,18556,1107,1783,7438,9563
"2011","Exeter","E07000041","Total",93166,48862,36657,12205,44304,29363,992,1596,6741,5612
"2011","Mid Devon","E07000042","Total",62421,41082,33286,7796,21339,11353,605,1143,3996,4242
"2011","North Devon","E07000043","Total",75394,47787,38682,9105,27607,14783,795,1339,5090,5600
"2011","South Hams","E07000044","Total",68544,44313,36917,7396,24231,12178,771,1138,4972,5172
"2011","Teignbridge","E07000045","Total",100935,64643,52460,12183,36292,18592,930,1675,7397,7698
"2011","Torridge","E07000046","Total",52468,33888,27813,6075,18580,9695,484,953,3554,3894
"2011","West Devon","E07000047","Total",43192,28602,23690,4912,14590,7606,429,661,2737,3157
"2011","Christchurch","E07000048","Total",39855,25036,20828,4208,14819,7153,462,635,2797,3772
"2011","East Dorset","E07000049","Total",72628,49094,42696,6398,23534,11786,718,1054,4085,5891
"2011","North Dorset","E07000050","Total",54032,36068,29984,6084,17964,9403,585,913,3295,3768
"2011","Purbeck","E07000051","Total",37072,23809,19842,3967,13263,6801,445,547,2500,2970
"2011","West Dorset","E07000052","Total",81346,52472,43882,8590,28874,14400,835,1380,5527,6732
"2011","Weymouth and Portland","E07000053","Total",52525,31496,24840,6656,21029,11060,536,1088,4515,3830
"2011","Cheltenham","E07000078","Total",93134,52377,39662,12715,40757,25879,981,1785,6514,5598
"2011","Cotswold","E07000079","Total",67676,44204,36990,7214,23472,12541,789,1104,4117,4921
"2011","Forest of Dean","E07000080","Total",66078,43233,35266,7967,22845,12401,638,1047,4042,4717
"2011","Gloucester","E07000081","Total",95805,57447,43982,13465,38358,23167,1099,2013,6603,5476
"2011","Stroud","E07000082","Total",91225,59137,47850,11287,32088,17867,844,1601,5738,6038
"2011","Tewkesbury","E07000083","Total",66471,43940,35716,8224,22531,12058,601,1124,4282,4466
"2011","Mendip","E07000187","Total",86478,54448,43664,10784,32030,17688,814,1634,6271,5623
"2011","Sedgemoor","E07000188","Total",92555,59344,47454,11890,33211,17819,914,1764,6091,6623
"2011","South Somerset","E07000189","Total",129799,84350,68834,15516,45449,24139,1208,2223,8512,9367
"2011","Taunton Deane","E07000190","Total",87207,54279,43599,10680,32928,17868,942,1702,6292,6124
"2011","West Somerset","E07000191","Total",28472,17960,14826,3134,10512,4923,378,500,2105,2606
"2011","Isle of Anglesey","W06000001","Total",57083,33951,27456,6495,23132,12757,709,943,4075,4648
"2011","Gwynedd","W06000002","Total",97060,54061,42426,11635,42999,25673,1378,1520,6579,7849
"2011","Conwy","W06000003","Total",93547,55282,44512,10770,38265,20146,1148,1723,7267,7981
"2011","Denbighshire","W06000004","Total",75596,44936,35952,8984,30660,17026,792,1399,5712,5731
"2011","Flintshire","W06000005","Total",123049,75537,60946,14591,47512,27397,1129,2199,8506,8281
"2011","Wrexham","W06000006","Total",107444,64346,50648,13698,43098,25269,1085,1740,7812,7192
"2011","Powys","W06000023","Total",108328,67017,54520,12497,41311,22574,1229,1816,7158,8534
"2011","Ceredigion","W06000008","Total",60218,33538,26808,6730,26680,16487,744,972,3914,4563
"2011","Pembrokeshire","W06000009","Total",98521,59617,48906,10711,38904,20973,1151,1706,7228,7846
"2011","Carmarthenshire","W06000010","Total",148278,88565,72635,15930,59713,33012,1436,2362,10807,12096
"2011","Swansea","W06000011","Total",192979,103995,83932,20063,88984,55143,2067,3705,14386,13683
"2011","Neath Port Talbot","W06000012","Total",114057,66102,53344,12758,47955,26972,918,2035,9248,8782
"2011","Bridgend","W06000013","Total",111560,67012,53986,13026,44548,25224,909,1979,8486,7950
"2011","Vale of Glamorgan","W06000014","Total",100451,60542,49213,11329,39909,22691,970,1881,7489,6878
"2011","Cardiff","W06000015","Total",271649,137261,104327,32934,134388,92450,3903,4941,17788,15306
"2011","Rhondda Cynon Taff","W06000016","Total",187600,107360,85300,22060,80240,47850,1543,3510,13517,13820
"2011","Merthyr Tydfil","W06000024","Total",47379,26581,20778,5803,20798,12707,469,961,3272,3389
"2011","Caerphilly","W06000018","Total",142780,85616,67466,18150,57164,33609,1099,2385,10166,9905
"2011","Blaenau Gwent","W06000019","Total",56746,31719,24738,6981,25027,14629,460,1053,4487,4398
"2011","Torfaen","W06000020","Total",73121,43473,34372,9101,29648,16695,624,1306,5529,5494
"2011","Monmouthshire","W06000021","Total",73620,47260,39420,7840,26360,14316,794,1181,4812,5257
"2011","Newport","W06000022","Total",114728,64325,51170,13155,50403,30271,1566,2374,8352,7840
