"date","geography","geography code","Rural Urban","Care Provision: All categories: Provision of unpaid care; measures: Value","Care Provision: Provides no unpaid care; measures: Value","Care Provision: Provides 1 to 19 hours unpaid care a week; measures: Value","Care Provision: Provides 20 to 49 hours unpaid care a week; measures: Value","Care Provision: Provides 50 or more hours unpaid care a week; measures: Value"
"2011","Boston","E07000136","Total",64637,58007,3926,937,1767
"2011","East Lindsey","E07000137","Total",136401,118697,9524,2556,5624
"2011","Lincoln","E07000138","Total",93541,84602,5296,1196,2447
"2011","North Kesteven","E07000139","Total",107766,95573,7737,1473,2983
"2011","South Holland","E07000140","Total",88270,78798,5681,1273,2518
"2011","South Kesteven","E07000141","Total",133788,119947,9259,1603,2979
"2011","West Lindsey","E07000142","Total",89250,78767,6858,1167,2458
"2011","Corby","E07000150","Total",61255,55207,3495,889,1664
"2011","Daventry","E07000151","Total",77843,69390,5997,890,1566
"2011","East Northamptonshire","E07000152","Total",86765,77833,6143,995,1794
"2011","Kettering","E07000153","Total",93475,83733,6496,1142,2104
"2011","Northampton","E07000154","Total",212069,192386,12777,2444,4462
"2011","South Northamptonshire","E07000155","Total",85189,76436,6323,920,1510
"2011","Wellingborough","E07000156","Total",75356,67469,5089,979,1819
"2011","Ashfield","E07000170","Total",119497,105429,8087,2091,3890
"2011","Bassetlaw","E07000171","Total",112863,99648,7988,1785,3442
"2011","Broxtowe","E07000172","Total",109487,97204,8059,1563,2661
"2011","Gedling","E07000173","Total",113543,100101,8998,1554,2890
"2011","Mansfield","E07000174","Total",104466,91758,7361,1797,3550
"2011","Newark and Sherwood","E07000175","Total",114817,101626,8380,1655,3156
"2011","Rushcliffe","E07000176","Total",111129,99338,8553,1147,2091
"2011","Herefordshire, County of","E06000019","Total",183477,162801,13998,2362,4316
"2011","Shropshire","E06000051","Total",306129,271869,22835,4046,7379
"2011","Stoke-on-Trent","E06000021","Total",249008,221623,15214,4357,7814
"2011","Telford and Wrekin","E06000020","Total",166641,148697,10313,2653,4978
"2011","Cannock Chase","E07000192","Total",97462,85645,6947,1736,3134
"2011","East Staffordshire","E07000193","Total",113583,102116,7492,1443,2532
"2011","Lichfield","E07000194","Total",100654,89085,7662,1359,2548
"2011","Newcastle-under-Lyme","E07000195","Total",123871,109140,9235,1972,3524
"2011","South Staffordshire","E07000196","Total",108131,94589,9145,1721,2676
"2011","Stafford","E07000197","Total",130869,115829,10208,1709,3123
"2011","Staffordshire Moorlands","E07000198","Total",97106,84555,8308,1545,2698
"2011","Tamworth","E07000199","Total",76813,68698,4794,1143,2178
"2011","North Warwickshire","E07000218","Total",62014,54495,4797,924,1798
"2011","Nuneaton and Bedworth","E07000219","Total",125252,111020,8557,1995,3680
"2011","Rugby","E07000220","Total",100075,89684,7118,1211,2062
"2011","Stratford-on-Avon","E07000221","Total",120485,106834,9685,1413,2553
"2011","Warwick","E07000222","Total",137648,124201,9714,1374,2359
"2011","Birmingham","E08000025","Total",1073045,965665,61188,17642,28550
"2011","Coventry","E08000026","Total",316960,284859,19456,4707,7938
"2011","Dudley","E08000027","Total",312925,274951,23156,5345,9473
"2011","Sandwell","E08000028","Total",308063,274533,17785,5808,9937
"2011","Solihull","E08000029","Total",206674,182561,16084,2896,5133
"2011","Walsall","E08000030","Total",269323,238691,17015,4840,8777
"2011","Wolverhampton","E08000031","Total",249470,222334,15450,4278,7408
"2011","Bromsgrove","E07000234","Total",93637,82436,7723,1304,2174
"2011","Malvern Hills","E07000235","Total",74631,65241,6543,1000,1847
"2011","Redditch","E07000236","Total",84214,75325,5559,1176,2154
"2011","Worcester","E07000237","Total",98768,89120,6386,1187,2075
"2011","Wychavon","E07000238","Total",116944,103510,9225,1418,2791
"2011","Wyre Forest","E07000239","Total",97975,86852,7086,1360,2677
"2011","Bedford","E06000055","Total",157479,141395,10838,2055,3191
"2011","Central Bedfordshire","E06000056","Total",254381,228546,18247,2702,4886
"2011","Luton","E06000032","Total",203201,184945,10975,2836,4445
"2011","Peterborough","E06000031","Total",183631,165941,10732,2616,4342
"2011","Southend-on-Sea","E06000033","Total",173658,155976,11412,2131,4139
"2011","Thurrock","E06000034","Total",157705,143099,8613,2172,3821
"2011","Cambridge","E07000008","Total",123867,114090,7146,1042,1589
"2011","East Cambridgeshire","E07000009","Total",83818,75529,5725,927,1637
"2011","Fenland","E07000010","Total",95262,84668,6154,1496,2944
"2011","Huntingdonshire","E07000011","Total",169508,152983,11150,1911,3464
"2011","South Cambridgeshire","E07000012","Total",148755,133764,11138,1409,2444
"2011","Basildon","E07000066","Total",174497,156864,10776,2402,4455
"2011","Braintree","E07000067","Total",147084,132254,10001,1700,3129
"2011","Brentwood","E07000068","Total",73601,65805,5539,819,1438
"2011","Castle Point","E07000069","Total",88011,78114,6100,1288,2509
"2011","Chelmsford","E07000070","Total",168310,151560,11962,1720,3068
"2011","Colchester","E07000071","Total",173074,156504,11121,2036,3413
"2011","Epping Forest","E07000072","Total",124659,111850,8870,1439,2500
"2011","Harlow","E07000073","Total",81944,73883,5025,1158,1878
"2011","Maldon","E07000074","Total",61629,54468,4870,837,1454
"2011","Rochford","E07000075","Total",83287,73866,6508,1033,1880
"2011","Tendring","E07000076","Total",138048,120698,10081,2377,4892
"2011","Uttlesford","E07000077","Total",79443,71510,5826,783,1324
"2011","Broxbourne","E07000095","Total",93609,84538,5847,1124,2100
"2011","Dacorum","E07000096","Total",144847,129973,10551,1554,2769
"2011","East Hertfordshire","E07000242","Total",137687,124888,9361,1313,2125
"2011","Hertsmere","E07000098","Total",100031,90176,6769,1266,1820
"2011","North Hertfordshire","E07000099","Total",127114,114309,9076,1386,2343
"2011","St Albans","E07000240","Total",140664,127290,9794,1378,2202
"2011","Stevenage","E07000243","Total",83957,75407,5365,1053,2132
"2011","Three Rivers","E07000102","Total",87317,78462,6404,934,1517
"2011","Watford","E07000103","Total",90301,82239,5412,1066,1584
"2011","Welwyn Hatfield","E07000241","Total",110535,100165,7112,1182,2076
"2011","Breckland","E07000143","Total",130491,116566,8537,1811,3577
"2011","Broadland","E07000144","Total",124646,110303,9925,1527,2891
"2011","Great Yarmouth","E07000145","Total",97277,86372,5984,1572,3349
