"date","geography","geography code","Rural Urban","Qualifications: All categories: Highest level of qualification; measures: Value","Qualifications: No qualifications; measures: Value","Qualifications: Highest level of qualification: Level 1 qualifications; measures: Value","Qualifications: Highest level of qualification: Level 2 qualifications; measures: Value","Qualifications: Highest level of qualification: Apprenticeship; measures: Value","Qualifications: Highest level of qualification: Level 3 qualifications; measures: Value","Qualifications: Highest level of qualification: Level 4 qualifications and above; measures: Value","Qualifications: Highest level of qualification: Other qualifications; measures: Value","Qualifications: Schoolchildren and full-time students: Age 16 to 17; measures: Value","Qualifications: Schoolchildren and full-time students: Age 18 and over; measures: Value","Qualifications: Full-time students: Age 18 to 74: Economically active: In employment; measures: Value","Qualifications: Full-time students: Age 18 to 74: Economically active: Unemployed; measures: Value","Qualifications: Full-time students: Age 18 to 74: Economically inactive; measures: Value"
"2011","St. Helens","E08000013","Total",143372,39950,20522,23930,6251,17408,29924,5387,3954,4480,1812,441,2207
"2011","Wirral","E08000015","Total",260498,61014,35570,44986,11048,32688,65809,9383,7426,8419,3204,766,4388
"2011","East Riding of Yorkshire","E06000011","Total",278333,65035,36228,45111,14051,33672,72004,12232,7250,8267,3483,696,4030
"2011","Kingston upon Hull, City of","E06000010","Total",208040,65851,30362,32099,8371,27284,31687,12386,5315,14550,4166,1344,9008
"2011","North East Lincolnshire","E06000012","Total",129377,38209,20816,23003,6002,13998,20970,6379,3557,4173,1502,511,2143
"2011","North Lincolnshire","E06000013","Total",136105,35633,21498,22796,6636,15917,26583,7042,3650,3647,1428,355,1849
"2011","York","E06000014","Total",166275,29863,17636,23070,7429,27590,53875,6812,3667,19002,5730,1346,11900
"2011","Craven","E07000163","Total",46161,9356,5418,7263,2103,5655,14663,1703,1236,1048,523,72,449
"2011","Hambleton","E07000164","Total",74039,14536,8869,11914,3015,9015,23736,2954,1848,1476,736,57,673
"2011","Harrogate","E07000165","Total",129036,22312,15280,21135,4649,15220,44002,6438,3718,2963,1489,117,1342
"2011","Richmondshire","E07000166","Total",42698,7925,6419,7681,1590,5269,11513,2301,950,684,338,39,304
"2011","Ryedale","E07000167","Total",43200,10369,5427,7033,1768,4900,11793,1910,1266,812,367,45,393
"2011","Scarborough","E07000168","Total",91402,23755,11781,14853,4862,11027,20742,4382,2164,3259,1250,327,1665
"2011","Selby","E07000169","Total",68135,14431,9535,11323,3402,8731,17786,2927,1921,1486,750,111,619
"2011","Barnsley","E08000016","Total",188335,60890,26913,30550,7716,21342,32724,8200,4905,4942,1986,462,2458
"2011","Doncaster","E08000017","Total",244909,74119,37763,41607,10958,26126,41714,12622,6679,6466,2390,568,3466
"2011","Rotherham","E08000018","Total",208018,62076,32284,35048,9065,24001,36165,9379,5829,5666,2254,545,2830
"2011","Sheffield","E08000019","Total",452014,109841,55566,62097,16192,71594,116007,20717,10970,55021,14727,5166,35045
"2011","Bradford","E08000032","Total",400121,110892,56413,59350,15131,45101,87397,25837,12568,22342,7087,2429,12761
"2011","Calderdale","E08000033","Total",163645,38943,22314,26507,7989,20079,40881,6932,4551,5247,2161,451,2620
"2011","Kirklees","E08000034","Total",336309,85554,44435,50474,16232,42257,80275,17082,9333,18358,6442,1794,10070
"2011","Leeds","E08000035","Total",613992,142481,77294,86614,22893,90497,165429,28784,14928,59741,19022,6305,34318
"2011","Wakefield","E08000036","Total",265797,82621,38778,42790,11636,28205,48772,12995,6985,6300,2602,527,3134
"2011","Derby","E06000015","Total",198076,47731,26294,28681,9793,25838,47955,11784,5400,12910,4526,1353,7000
"2011","Leicester","E06000016","Total",260560,74409,33751,32781,5309,33888,55223,25199,7748,32323,8572,3138,20555
"2011","Nottingham","E06000018","Total",250104,63991,30619,32333,5715,46411,54875,16160,5762,45921,9678,3653,32541
"2011","Rutland","E06000017","Total",30683,5453,3729,5373,1114,3834,10096,1084,1354,777,301,32,437
"2011","Amber Valley","E07000032","Total",100841,27220,13986,15627,4683,12086,23346,3893,2685,2296,1025,157,1093
"2011","Bolsover","E07000033","Total",62192,20455,9520,10195,2308,7064,9853,2797,1665,1488,621,134,724
"2011","Chesterfield","E07000034","Total",85595,23618,12252,14567,3441,10342,17994,3381,2327,2152,919,199,1012
"2011","Derbyshire Dales","E07000035","Total",59299,12773,7088,8870,1992,6572,19816,2188,1536,1236,551,55,625
"2011","Erewash","E07000036","Total",91948,23808,14091,15197,4851,11350,19015,3636,2525,2343,1023,184,1121
"2011","High Peak","E07000037","Total",74416,15520,9771,11931,2943,9779,21884,2588,2058,2547,983,212,1341
"2011","North East Derbyshire","E07000038","Total",82699,22277,11752,13731,3632,9838,18340,3129,2107,1961,839,135,977
"2011","South Derbyshire","E07000039","Total",75910,16707,10674,12617,3663,9738,19701,2810,2251,2016,939,139,934
"2011","Blaby","E07000129","Total",76334,16964,11097,12257,4360,9378,18988,3290,2179,2233,1059,199,962
"2011","Charnwood","E07000130","Total",137878,28265,16740,19685,6586,23470,36916,6216,3781,15776,3575,887,11297
"2011","Harborough","E07000131","Total",69034,12461,9158,11275,3165,8340,21982,2653,2087,1785,794,80,906
"2011","Hinckley and Bosworth","E07000132","Total",86475,21089,12342,13895,4144,10733,20803,3469,2265,2086,960,134,977
"2011","Melton","E07000133","Total",41237,8808,5793,6794,1994,5225,10785,1838,1130,1048,489,79,473
"2011","North West Leicestershire","E07000134","Total",75791,19691,9988,11639,3426,9411,18402,3234,2036,2150,865,121,1151
"2011","Oadby and Wigston","E07000135","Total",46359,10461,6144,7008,1976,6796,11476,2498,1443,3608,904,285,2413
"2011","Boston","E07000136","Total",53275,17421,7705,8126,1745,4954,8060,5264,1277,1125,474,112,528
"2011","East Lindsey","E07000137","Total",115418,37648,16355,18058,4922,12071,20849,5515,2794,2218,837,185,1178
"2011","Lincoln","E07000138","Total",78190,17134,10349,12587,2899,14395,16644,4182,1752,9441,3242,1180,5010
"2011","North Kesteven","E07000139","Total",88700,19289,12232,15306,3885,11685,22559,3744,2373,1930,935,143,836
"2011","South Holland","E07000140","Total",73354,22628,11195,12070,2710,7354,11586,5811,1815,1199,545,93,555
"2011","South Kesteven","E07000141","Total",109085,23608,15098,18733,5007,13474,27974,5191,3147,2388,1173,201,1009
"2011","West Lindsey","E07000142","Total",73753,16963,10217,12217,3796,8796,18642,3122,2140,1684,753,140,787
"2011","Corby","E07000150","Total",48637,13439,8405,8330,2005,5393,7254,3811,1387,1340,645,101,587
"2011","Daventry","E07000151","Total",63031,11918,9337,10742,2762,7416,18158,2698,1906,1534,731,108,685
"2011","East Northamptonshire","E07000152","Total",69576,15506,10629,12222,3085,8220,16866,3048,2259,1632,719,111,795
"2011","Kettering","E07000153","Total",74809,17079,11565,12720,3244,8814,17406,3981,1971,1808,908,140,757
"2011","Northampton","E07000154","Total",169056,38113,25243,26773,6037,20905,40021,11964,4489,9524,3836,969,4697
"2011","South Northamptonshire","E07000155","Total",68624,11955,9609,11442,3058,8559,21308,2693,1946,1494,809,87,592
"2011","Wellingborough","E07000156","Total",60348,15534,9661,9932,2489,6544,12307,3881,1627,1577,744,147,678
"2011","Ashfield","E07000170","Total",96698,30345,15846,15901,4174,11626,14595,4211,2464,2277,936,221,1100
"2011","Bassetlaw","E07000171","Total",92702,26393,13513,15245,3847,10453,18761,4490,2624,2189,968,192,1018
"2011","Broxtowe","E07000172","Total",90938,21031,11721,13547,4079,11046,25678,3836,2393,4412,1362,252,2781
"2011","Gedling","E07000173","Total",93186,21980,12775,14737,4240,11999,23601,3854,2512,2621,1214,237,1152
"2011","Mansfield","E07000174","Total",85448,25944,13414,14087,3143,10376,13978,4506,2316,2133,945,204,970
"2011","Newark and Sherwood","E07000175","Total",93957,23550,13423,15088,3795,11169,22698,4234,2516,2625,1102,202,1314
"2011","Rushcliffe","E07000176","Total",90551,14835,9411,13032,3061,11861,35307,3044,2455,4563,1617,282,2658
"2011","Herefordshire, County of","E06000019","Total",151962,34845,19396,24322,5410,18235,41779,7975,3938,3853,1605,255,1969
"2011","Shropshire","E06000051","Total",252979,56943,33158,42594,9289,30749,69558,10688,7183,6516,2629,343,3513
"2011","Stoke-on-Trent","E06000021","Total",200642,67773,28825,31875,7066,23961,31041,10101,5378,11173,4006,1318,5809
"2011","Telford and Wrekin","E06000020","Total",132440,32612,20055,23731,4413,17199,27713,6717,4018,5412,1840,336,3217
"2011","Cannock Chase","E07000192","Total",79027,22278,12884,14034,2861,10021,13606,3343,2249,2123,960,232,926
"2011","East Staffordshire","E07000193","Total",91821,22671,13019,14802,3849,10752,21466,5262,2691,2518,1169,218,1119
"2011","Lichfield","E07000194","Total",83057,18622,11388,13304,2939,9779,23604,3421,2269,2196,992,151,1046
"2011","Newcastle-under-Lyme","E07000195","Total",102813,27529,13094,16098,3976,14874,23121,4121,2553,7961,2273,569,5095
"2011","South Staffordshire","E07000196","Total",90506,21699,12597,14973,3631,11356,22707,3543,2550,2571,1164,179,1217
"2011","Stafford","E07000197","Total",108626,22150,13804,17192,3751,14057,32887,4785,2861,5225,1885,453,2875
"2011","Staffordshire Moorlands","E07000198","Total",81106,21560,10406,13005,3369,9943,19255,3568,2064,2062,977,167,906
"2011","Tamworth","E07000199","Total",61467,16467,10713,10954,2283,7682,10706,2662,1786,1660,802,148,702
"2011","North Warwickshire","E07000218","Total",51049,14253,7800,8551,2091,6079,10096,2179,1346,1224,537,93,581
"2011","Nuneaton and Bedworth","E07000219","Total",101244,28384,15829,16561,4825,11760,18801,5084,2884,2799,1324,259,1198
"2011","Rugby","E07000220","Total",80689,15778,10707,12896,4238,9455,22735,4880,2434,2131,918,158,1046
"2011","Stratford-on-Avon","E07000221","Total",100042,19345,11971,15619,3619,11712,33396,4380,2641,2466,1057,122,1266
"2011","Warwick","E07000222","Total",114051,18691,11539,14527,3770,16392,43836,5296,2690,9998,2284,369,7325
"2011","Birmingham","E08000025","Total",828363,233835,110158,113967,17654,107913,190335,54501,26194,78440,20673,7983,49603
"2011","Coventry","E08000026","Total",254106,60799,33782,35777,10256,36184,58566,18742,6705,29330,7572,2928,18775
"2011","Dudley","E08000027","Total",253421,75980,36286,42371,8888,30056,48584,11256,7369,7667,3095,742,3783
"2011","Sandwell","E08000028","Total",241829,85040,34723,35543,6451,25245,37151,17676,7177,10350,3522,1260,5520
"2011","Solihull","E08000029","Total",167493,38035,22790,26933,5715,19597,47783,6640,5263,5216,2261,384,2533
"2011","Walsall","E08000030","Total",213123,71839,31117,32616,6365,23022,35989,12175,6262,8082,2863,933,4249
"2011","Wolverhampton","E08000031","Total",200047,62467,28187,29790,5497,21199,39021,13886,5854,11178,3876,1411,5864
"2011","Bromsgrove","E07000234","Total",77107,16413,9875,12191,3139,9056,23551,2882,2264,2196,900,149,1132
"2011","Malvern Hills","E07000235","Total",62219,12637,6957,9636,2385,7068,21113,2423,2009,1693,632,93,961
"2011","Redditch","E07000236","Total",67656,16996,10683,11508,2537,8111,14007,3814,1927,2203,972,195,1026
"2011","Worcester","E07000237","Total",80291,17116,10235,11928,3116,11644,22211,4041,2012,5246,2060,558,2616
"2011","Wychavon","E07000238","Total",97039,21458,12694,15170,3912,11241,27870,4694,2523,2348,1128,133,1077
"2011","Wyre Forest","E07000239","Total",81190,22579,11553,13076,3058,9258,17916,3750,1934,1986,851,161,970
"2011","Bedford","E06000055","Total",125871,25645,17313,19129,4939,14882,35417,8546,3810,6286,2370,546,3346
"2011","Central Bedfordshire","E06000056","Total",204602,39644,30583,34714,9623,25869,55793,8376,5869,6836,2628,466,3713
"2011","Luton","E06000032","Total",156445,36953,22813,22720,5151,17332,34814,16662,4951,13411,4601,2152,6622
"2011","Peterborough","E06000031","Total",144495,36158,22288,23338,5037,15589,29245,12840,4121,4323,1812,455,2034
"2011","Southend-on-Sea","E06000033","Total",140621,34621,23075,24619,4161,16055,30691,7399,3825,4152,1764,393,1975
"2011","Thurrock","E06000034","Total",123407,32643,22396,21639,4218,13483,21519,7509,3475,3468,1539,411,1496
"2011","Cambridge","E07000008","Total",106007,12606,7294,9159,2024,17943,50169,6812,2226,24506,4390,671,19427
"2011","East Cambridgeshire","E07000009","Total",67481,14127,8844,10556,2928,7700,19583,3743,1780,1362,649,103,596
"2011","Fenland","E07000010","Total",78482,24523,12253,13323,3173,8151,11677,5382,2074,1508,661,133,704
"2011","Huntingdonshire","E07000011","Total",137157,26361,20055,23266,5221,16977,38301,6976,3837,3314,1646,215,1441
"2011","South Cambridgeshire","E07000012","Total",119342,18248,13275,17129,4643,13472,47852,4723,3448,3636,1499,182,1932
"2011","Basildon","E07000066","Total",139198,37084,25629,24568,4986,14961,25939,6031,3887,3253,1425,323,1491
"2011","Braintree","E07000067","Total",118098,26958,19524,21412,4604,14154,26212,5234,3165,2538,1316,177,1027
"2011","Brentwood","E07000068","Total",60115,11651,8543,10328,1979,6867,18441,2306,1872,1563,606,92,861
"2011","Castle Point","E07000069","Total",73142,21885,13177,12997,3393,7780,10693,3217,1955,1416,725,122,562
"2011","Chelmsford","E07000070","Total",137003,25844,20510,23744,4977,17085,39452,5391,3903,4510,2044,316,2131
"2011","Colchester","E07000071","Total",141427,27440,20294,23629,4772,19572,38412,7308,3590,10813,3455,922,6415
"2011","Epping Forest","E07000072","Total",101708,24360,15839,16544,3364,11261,25769,4571,2778,3252,1196,220,1821
"2011","Harlow","E07000073","Total",65061,16948,12211,11167,2328,7282,11468,3657,1937,1872,949,170,744
"2011","Maldon","E07000074","Total",50804,11749,8153,8771,2355,5692,12009,2075,1303,955,467,68,413
"2011","Rochford","E07000075","Total",68271,16134,12132,12531,2956,8158,13659,2701,1889,1354,672,98,576
"2011","Tendring","E07000076","Total",115495,39616,17499,18751,4740,11002,18340,5547,2889,2306,970,228,1084
"2011","Uttlesford","E07000077","Total",63399,11232,8791,10919,2092,7594,20251,2520,2094,1537,625,68,838
"2011","Broxbourne","E07000095","Total",74850,19122,13262,12871,2741,8401,14394,4059,2192,2471,1054,181,1225
"2011","Dacorum","E07000096","Total",115983,21768,17067,18714,4023,13410,35872,5129,3418,3304,1459,228,1601
"2011","East Hertfordshire","E07000242","Total",110139,18959,14893,18440,3481,13145,36867,4354,3721,2941,1259,134,1526
"2011","Hertsmere","E07000098","Total",79841,15502,11257,12601,2290,8950,24588,4653,2517,3692,1192,191,2290
"2011","North Hertfordshire","E07000099","Total",102388,18416,13480,15758,3565,11632,35242,4295,2954,2775,1229,172,1362
"2011","St Albans","E07000240","Total",110590,14268,11061,14763,3076,11518,51251,4653,3414,3747,1562,211,1961
"2011","Stevenage","E07000243","Total",66866,14390,12065,11941,2521,7889,14762,3298,2022,2332,1185,196,941
"2011","Three Rivers","E07000102","Total",69819,12261,9218,11045,2337,8037,23675,3246,2133,2239,876,132,1219
"2011","Watford","E07000103","Total",71693,12513,9501,10752,2104,8361,23082,5380,1963,3202,1449,233,1506
"2011","Welwyn Hatfield","E07000241","Total",90369,15550,11791,13544,2866,14211,27123,5284,2458,11812,3600,1139,7052
"2011","Breckland","E07000143","Total",107507,30057,16104,18149,4276,11917,20046,6958,2661,2183,1017,167,982
"2011","Broadland","E07000144","Total",103657,23744,15328,18098,5651,12388,24026,4422,2644,2146,1137,137,855
"2011","Great Yarmouth","E07000145","Total",79748,26164,12531,12846,3735,8418,11336,4718,2110,2025,794,222,991
"2011","King's Lynn and West Norfolk","E07000146","Total",122639,35909,17770,19850,4680,13464,23455,7511,3027,2535,1058,224,1228
"2011","North Norfolk","E07000147","Total",86830,23838,12236,14106,4087,9137,19326,4100,1869,1307,566,92,641
"2011","Norwich","E07000148","Total",110805,25073,14129,15342,2858,16885,30722,5796,2071,12844,3709,1054,8050
"2011","South Norfolk","E07000149","Total",101717,22953,13799,17362,4305,11687,27501,4110,2795,2141,1018,139,976
"2011","Babergh","E07000200","Total",71821,16367,10385,12560,2818,8337,18539,2815,2074,1417,682,68,655
"2011","Forest Heath","E07000201","Total",48684,12505,6597,6893,1961,5003,9325,6400,1014,1127,574,61,483
