"date","geography","geography code","Rural Urban","Dwelling Type: All categories: Dwelling type; measures: Value","Dwelling Type: Unshared dwelling; measures: Value","Dwelling Type: Shared dwelling: Two household spaces; measures: Value","Dwelling Type: Shared dwelling: Three or more household spaces; measures: Value","Dwelling Type: All categories: Household spaces; measures: Value","Dwelling Type: Household spaces with at least one usual resident; measures: Value","Dwelling Type: Household spaces with no usual residents; measures: Value","Dwelling Type: Whole house or bungalow: Detached; measures: Value","Dwelling Type: Whole house or bungalow: Semi-detached; measures: Value","Dwelling Type: Whole house or bungalow: Terraced (including end-terrace); measures: Value","Dwelling Type: Flat, maisonette or apartment: Purpose-built block of flats or tenement; measures: Value","Dwelling Type: Flat, maisonette or apartment: Part of a converted or shared house (including bed-sits); measures: Value","Dwelling Type: Flat, maisonette or apartment: In a commercial building; measures: Value","Dwelling Type: Caravan or other mobile or temporary structure; measures: Value"
"2011","Chiltern","E07000005","Total",38287,38275,8,4,38306,36946,1360,16719,9456,6315,4419,643,465,289
"2011","South Bucks","E07000006","Total",27709,27702,5,2,27721,26514,1207,11290,6782,3826,4492,447,417,467
"2011","Wycombe","E07000007","Total",70087,70049,12,26,70235,67861,2374,21795,23033,11452,11220,1762,652,321
"2011","Eastbourne","E07000061","Total",47469,47373,19,77,47842,45012,2830,7837,9787,11643,13234,4606,699,36
"2011","Hastings","E07000062","Total",42771,42679,23,69,43059,41159,1900,7734,8652,9872,8675,7210,780,136
"2011","Lewes","E07000063","Total",43847,43826,12,9,43890,42181,1709,15397,11629,8364,6255,1430,574,241
"2011","Rother","E07000064","Total",44016,43997,4,15,44069,40877,3192,18430,9589,5902,6209,2922,788,229
"2011","Wealden","E07000065","Total",65159,65145,9,5,65200,62676,2524,29030,19581,8289,5562,1263,707,768
"2011","Basingstoke and Deane","E07000084","Total",70936,70924,5,7,70965,69315,1650,21890,17615,20624,9444,814,319,259
"2011","East Hampshire","E07000085","Total",49099,49090,6,3,49114,47258,1856,20883,12046,8757,5737,870,462,359
"2011","Eastleigh","E07000086","Total",53401,53394,3,4,53415,52177,1238,17894,14698,11783,7447,791,409,393
"2011","Fareham","E07000087","Total",47941,47937,1,3,47950,46579,1371,17243,15246,9131,5421,382,355,172
"2011","Gosport","E07000088","Total",36677,36668,3,6,36712,35430,1282,4841,9612,13318,7758,607,461,115
"2011","Hart","E07000089","Total",36501,36497,3,1,36527,35510,1017,16222,9220,6736,3400,320,331,298
"2011","Havant","E07000090","Total",52781,52772,2,7,52814,51311,1503,14976,14958,12606,8830,660,606,178
"2011","New Forest","E07000091","Total",80286,80272,5,9,80332,76839,3493,36410,18715,12729,9000,1200,975,1303
"2011","Rushmoor","E07000092","Total",37658,37639,3,16,37724,36344,1380,6340,12199,9307,8145,1082,443,208
"2011","Test Valley","E07000093","Total",49143,49138,1,4,49164,47626,1538,18995,12581,11061,5118,636,376,397
"2011","Winchester","E07000094","Total",49140,49124,9,7,49168,46865,2303,17972,12158,10239,6449,1267,473,610
"2011","Ashford","E07000105","Total",49747,49726,7,14,49806,47787,2019,16613,15034,12031,4542,803,284,499
"2011","Canterbury","E07000106","Total",63859,63800,20,39,64041,60771,3270,20098,19262,11974,8540,2596,898,673
"2011","Dartford","E07000107","Total",41220,41209,5,6,41250,40081,1169,5195,12870,13674,8152,989,252,118
"2011","Dover","E07000108","Total",51453,51408,11,34,51615,48310,3305,11312,15254,15177,6161,2135,600,976
"2011","Gravesham","E07000109","Total",41699,41681,6,12,41744,40431,1313,6754,13321,13248,6534,1259,499,129
"2011","Maidstone","E07000110","Total",65526,65483,8,35,65673,63447,2226,16745,21954,15752,8705,1405,471,641
